"","Truth_SVLEN","Manta_SVLEN","GRIDSS_SVLEN","Lumpy_SVLEN"
"0",0,0,0,0
"50",154,41,76,19
"100",161,92,98,52
"500",140,96,75,71
"1000",126,85,82,80
"2000",133,89,93,72
"5000",126,84,79,74
"10000",154,107,111,77
"15000",126,87,85,71
"100000",133,86,93,74
"1000000",147,101,101,86
">1000000",0,56,34,46
"NO_SVLEN",800,730,657,723
