"","Truth_SVLEN","Manta_SVLEN","GRIDSS_SVLEN","Lumpy_SVLEN"
"0",0,0,0,0
"50",154,86,86,8
"100",161,120,131,42
"500",140,94,99,75
"1000",126,86,87,76
"2000",133,88,128,72
"5000",126,83,108,72
"10000",154,106,145,78
"15000",126,87,112,69
"100000",133,84,117,75
"1000000",147,103,117,80
">1000000",0,55,39,46
"NO_SVLEN",800,767,719,689
