"","Truth_SVTYPE","Manta_SVTYPE","GRIDSS_SVTYPE","Lumpy_SVTYPE"
"SUM",1400,1790,1568,1459
"DEL",400,406,389,374
"DUP",200,188,172,170
"INV",200,344,348,186
"INS",400,201,12,NA
"TRA",200,NA,NA,NA
"BND",NA,651,647,729
"RPL",NA,NA,NA,NA
"CTX",NA,NA,NA,NA
"ITX",NA,NA,NA,NA
