"","Truth_SVTYPE","Manta_SVTYPE","GRIDSS_SVTYPE","Lumpy_SVTYPE"
"SUM",98,66,63,65
"DEL",28,11,10,11
"DUP",13,8,7,9
"INV",13,13,16,8
"INS",26,3,0,NA
"TRA",18,NA,NA,NA
"BND",NA,31,30,37
"RPL",NA,NA,NA,NA
"CTX",NA,NA,NA,NA
"ITX",NA,NA,NA,NA
