"","Truth_SVLEN","Manta_SVLEN","GRIDSS_SVLEN","Lumpy_SVLEN"
"0",0,0,0,0
"50",154,0,65,19
"100",161,33,97,37
"500",140,74,85,74
"1000",126,79,82,75
"2000",133,78,90,71
"5000",126,77,79,73
"10000",154,101,110,80
"15000",126,85,84,66
"100000",133,80,91,77
"1000000",147,91,100,79
">1000000",0,56,34,50
"NO_SVLEN",800,607,670,690
