"","Manta_SVTYPE","Manta_TP_tmp","Manta_FP","Manta_Precision","Manta_FDR","GRIDSS_SVTYPE","GRIDSS_TP_tmp","GRIDSS_FP","GRIDSS_Precision","GRIDSS_FDR","Lumpy_SVTYPE","Lumpy_TP_tmp","Lumpy_FP","Lumpy_Precision","Lumpy_FDR"
"SUM",1624,1406,58,0.960382513661202,0.0357142857142857,1578,1375,37,0.973796033994334,0.023447401774398,1372,1281,91,0.933673469387755,0.0663265306122449
"DEL",380,360,20,0.947368421052632,0.0526315789473684,377,359,18,0.952254641909814,0.0477453580901857,349,316,33,0.905444126074499,0.0945558739255014
"DUP",182,154,28,0.846153846153846,0.153846153846154,179,161,18,0.899441340782123,0.100558659217877,165,143,22,0.866666666666667,0.133333333333333
"INV",331,170,1,0.994152046783626,0.00302114803625378,347,181,0,1,0,173,171,2,0.988439306358382,0.0115606936416185
"INS",87,80,7,0.919540229885057,0.0804597701149425,5,4,1,0.8,0.2,NA,0,0,NA,NA
"TRA",NA,155,0,NA,NA,NA,156,0,NA,NA,NA,144,0,NA,NA
"BND",644,642,2,0.996894409937888,0.0031055900621118,670,670,0,1,0,685,651,34,0.95036496350365,0.0496350364963504
"RPL",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
"CTX",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
"ITX",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
