"","Manta_TP_SVLEN","Manta_SVLEN_Sensitivity","GRIDSS_TP_SVLEN","GRIDSS_SVLEN_Sensitivity","Lumpy_TP_SVLEN","Lumpy_SVLEN_Sensitivity"
"0",0,NA,0,NA,0,NA
"50",41,0.266233766233766,66,0.428571428571429,50,0.324675324675325
"100",125,0.77639751552795,118,0.732919254658385,101,0.627329192546584
"500",117,0.835714285714286,96,0.685714285714286,108,0.771428571428571
"1000",112,0.888888888888889,99,0.785714285714286,95,0.753968253968254
"2000",121,0.909774436090226,109,0.819548872180451,107,0.804511278195489
"5000",109,0.865079365079365,102,0.80952380952381,100,0.793650793650794
"10000",135,0.876623376623377,129,0.837662337662338,125,0.811688311688312
"15000",111,0.880952380952381,101,0.801587301587302,98,0.777777777777778
"100000",118,0.887218045112782,104,0.781954887218045,100,0.75187969924812
"1000000",126,0.857142857142857,118,0.802721088435374,114,0.775510204081633
">1000000",0,NA,0,NA,0,NA
"NO_SVLEN",647,0.80875,657,0.82125,693,0.86625
