"","Manta_TP_SVLEN","Manta_SVLEN_Sensitivity","GRIDSS_TP_SVLEN","GRIDSS_SVLEN_Sensitivity","Lumpy_TP_SVLEN","Lumpy_SVLEN_Sensitivity"
"0",0,NA,0,NA,0,NA
"50",1,0.00649350649350649,56,0.363636363636364,14,0.0909090909090909
"100",72,0.447204968944099,114,0.708074534161491,84,0.521739130434783
"500",101,0.721428571428571,106,0.757142857142857,104,0.742857142857143
"1000",90,0.714285714285714,99,0.785714285714286,94,0.746031746031746
"2000",92,0.691729323308271,109,0.819548872180451,105,0.789473684210526
"5000",91,0.722222222222222,102,0.80952380952381,96,0.761904761904762
"10000",122,0.792207792207792,128,0.831168831168831,125,0.811688311688312
"15000",95,0.753968253968254,100,0.793650793650794,97,0.76984126984127
"100000",90,0.676691729323308,103,0.774436090225564,99,0.744360902255639
"1000000",99,0.673469387755102,116,0.789115646258503,112,0.761904761904762
">1000000",0,NA,0,NA,0,NA
"NO_SVLEN",605,0.75625,670,0.8375,651,0.81375
