"","Truth_SVTYPE","Manta_SVTYPE","GRIDSS_SVTYPE","Lumpy_SVTYPE"
"SUM",1400,1268,1295,1227
"DEL",400,262,282,302
"DUP",200,112,159,157
"INV",200,289,278,163
"INS",400,46,0,NA
"TRA",200,NA,NA,NA
"BND",NA,559,576,605
"RPL",NA,NA,NA,NA
"CTX",NA,NA,NA,NA
"ITX",NA,NA,NA,NA
