"","Truth_SVTYPE","Manta_SVTYPE","GRIDSS_SVTYPE","Lumpy_SVTYPE"
"SUM",1400,1096,1298,1251
"DEL",400,197,284,318
"DUP",200,80,159,158
"INV",200,272,279,164
"INS",400,4,0,NA
"TRA",200,NA,NA,NA
"BND",NA,543,576,611
"RPL",NA,NA,NA,NA
"CTX",NA,NA,NA,NA
"ITX",NA,NA,NA,NA
