"","Truth_SVLEN","Manta_SVLEN","GRIDSS_SVLEN","Lumpy_SVLEN"
"0",0,0,0,0
"50",154,42,63,12
"100",161,62,91,28
"500",140,78,79,73
"1000",126,82,82,74
"2000",133,88,89,72
"5000",126,83,79,74
"10000",154,105,108,76
"15000",126,88,86,71
"100000",133,82,87,74
"1000000",147,99,97,79
">1000000",0,58,36,47
"NO_SVLEN",800,733,662,676
