"","Manta_SVLEN","Manta_TP_SVLEN","Manta_FP_SVLEN","Manta_SVLEN_Precision","Manta_SVLEN_FDR","GRIDSS_SVLEN","GRIDSS_TP_SVLEN","GRIDSS_FP_SVLEN","GRIDSS_SVLEN_Precision","GRIDSS_SVLEN_FDR","Lumpy_SVLEN","Lumpy_TP_SVLEN","Lumpy_FP_SVLEN","Lumpy_SVLEN_Precision","Lumpy_SVLEN_FDR"
"0",0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
"50",11,10,2,0.833333333333333,0.181818181818182,25,20,0,1,0,5,2,4,0.333333333333333,0.8
"100",30,44,3,0.936170212765957,0.1,42,59,0,1,0,6,48,0,1,0
"500",32,64,0,1,0,74,94,0,1,0,60,87,1,0.988636363636364,0.0166666666666667
"1000",62,68,5,0.931506849315068,0.0806451612903226,71,79,1,0.9875,0.0140845070422535,71,86,4,0.955555555555556,0.0563380281690141
"2000",73,82,11,0.881720430107527,0.150684931506849,81,94,0,1,0,71,99,4,0.961165048543689,0.0563380281690141
"5000",73,80,6,0.930232558139535,0.0821917808219178,60,79,1,0.9875,0.0166666666666667,70,83,5,0.943181818181818,0.0714285714285714
"10000",89,96,11,0.897196261682243,0.123595505617978,93,99,0,1,0,70,111,7,0.940677966101695,0.1
"15000",88,88,14,0.862745098039216,0.159090909090909,81,89,1,0.988888888888889,0.0123456790123457,70,88,4,0.956521739130435,0.0571428571428571
"100000",75,89,6,0.936842105263158,0.08,76,92,0,1,0,77,90,5,0.947368421052632,0.0649350649350649
"1000000",78,91,8,0.919191919191919,0.102564102564103,83,101,3,0.971153846153846,0.036144578313253,72,106,4,0.963636363636364,0.0555555555555556
">1000000",60,0,40,0,0.666666666666667,33,0,29,0,0.878787878787879,50,0,35,0,0.7
"NO_SVLEN",597,537,22,0.960644007155635,0.0368509212730318,576,571,5,0.991319444444444,0.00868055555555556,605,568,37,0.938842975206612,0.0611570247933884
