"","Manta_SVTYPE","Manta_TP_tmp","Manta_FP","Manta_Precision","Manta_FDR","GRIDSS_SVTYPE","GRIDSS_TP_tmp","GRIDSS_FP","GRIDSS_Precision","GRIDSS_FDR","Lumpy_SVTYPE","Lumpy_TP_tmp","Lumpy_FP","Lumpy_Precision","Lumpy_FDR"
"SUM",1600,1382,71,0.951135581555403,0.044375,1559,1358,39,0.972083035075161,0.0250160359204618,1356,1260,96,0.929203539823009,0.0707964601769911
"DEL",367,347,20,0.94550408719346,0.0544959128065395,374,356,18,0.951871657754011,0.0481283422459893,345,309,36,0.895652173913044,0.104347826086957
"DUP",169,137,32,0.810650887573965,0.189349112426035,179,161,18,0.899441340782123,0.100558659217877,163,142,21,0.871165644171779,0.128834355828221
"INV",309,160,2,0.987654320987654,0.00647249190938511,340,178,0,1,0,172,169,3,0.982558139534884,0.0174418604651163
"INS",113,100,13,0.884955752212389,0.115044247787611,4,3,1,0.75,0.25,NA,0,0,NA,NA
"TRA",NA,150,0,NA,NA,NA,152,0,NA,NA,NA,140,0,NA,NA
"BND",642,638,4,0.993769470404984,0.00623052959501558,662,660,2,0.996978851963746,0.00302114803625378,676,640,36,0.946745562130177,0.0532544378698225
"RPL",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
"CTX",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
"ITX",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
