"","Manta_TP_SVLEN","Manta_SVLEN_Sensitivity","GRIDSS_TP_SVLEN","GRIDSS_SVLEN_Sensitivity","Lumpy_TP_SVLEN","Lumpy_SVLEN_Sensitivity"
"0",0,NA,0,NA,0,NA
"50",77,0.5,58,0.376623376623377,18,0.116883116883117
"100",135,0.838509316770186,117,0.726708074534162,95,0.590062111801242
"500",123,0.878571428571429,100,0.714285714285714,104,0.742857142857143
"1000",116,0.920634920634921,100,0.793650793650794,95,0.753968253968254
"2000",123,0.924812030075188,109,0.819548872180451,104,0.781954887218045
"5000",113,0.896825396825397,102,0.80952380952381,100,0.793650793650794
"10000",141,0.915584415584416,129,0.837662337662338,125,0.811688311688312
"15000",115,0.912698412698413,101,0.801587301587302,95,0.753968253968254
"100000",117,0.879699248120301,104,0.781954887218045,99,0.744360902255639
"1000000",131,0.891156462585034,117,0.795918367346939,113,0.768707482993197
">1000000",0,NA,0,NA,0,NA
"NO_SVLEN",650,0.8125,664,0.83,656,0.82
