"","Manta_SVLEN","Manta_TP_SVLEN","Manta_FP_SVLEN","Manta_SVLEN_Precision","Manta_SVLEN_FDR","GRIDSS_SVLEN","GRIDSS_TP_SVLEN","GRIDSS_FP_SVLEN","GRIDSS_SVLEN_Precision","GRIDSS_SVLEN_FDR","Lumpy_SVLEN","Lumpy_TP_SVLEN","Lumpy_FP_SVLEN","Lumpy_SVLEN_Precision","Lumpy_SVLEN_FDR"
"0",0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
"50",94,86,23,0.788990825688073,0.24468085106383,73,64,0,1,0,18,65,2,0.970149253731343,0.111111111111111
"100",138,138,25,0.846625766871166,0.181159420289855,99,118,0,1,0,57,101,0,1,0
"500",95,115,0,1,0,72,91,0,1,0,71,108,2,0.981818181818182,0.028169014084507
"1000",86,118,1,0.991596638655462,0.0116279069767442,83,102,0,1,0,82,96,2,0.979591836734694,0.024390243902439
"2000",91,125,0,1,0,92,108,0,1,0,75,107,2,0.981651376146789,0.0266666666666667
"5000",84,113,0,1,0,78,102,0,1,0,70,101,1,0.990196078431373,0.0142857142857143
"10000",107,143,0,1,0,112,129,0,1,0,82,125,2,0.984251968503937,0.024390243902439
"15000",87,116,0,1,0,85,101,0,1,0,67,99,2,0.98019801980198,0.0298507462686567
"100000",86,119,0,1,0,94,104,0,1,0,78,100,0,1,0
"1000000",102,131,2,0.984962406015038,0.0196078431372549,99,117,2,0.983193277310924,0.0202020202020202,84,115,4,0.966386554621849,0.0476190476190476
">1000000",55,0,32,0,0.581818181818182,34,0,33,0,0.970588235294118,46,0,38,0,0.826086956521739
"NO_SVLEN",765,650,10,0.984848484848485,0.0130718954248366,647,647,0,1,0,729,702,27,0.962962962962963,0.037037037037037
