"","Truth_SV","Manta_TP","Manta_Sensitivity","GRIDSS_TP","GRIDSS_Sensitivity","Lumpy_TP","Lumpy_Sensitivity"
"SUM",1400,1208,0.862857142857143,1036,0.74,1017,0.726428571428571
"DEL",200,192,0.96,184,0.92,171,0.855
"DEL_TRA",200,190,0.95,188,0.94,174,0.87
"DUP",200,171,0.855,154,0.77,147,0.735
"INV",200,182,0.91,178,0.89,183,0.915
"DINS",200,186,0.93,165,0.825,176,0.88
"FINS",200,127,0.635,11,0.055,0,0
"TRA",200,160,0.8,156,0.78,166,0.83
"BND",800,650,0.8125,647,0.80875,702,0.8775
"INS_BND",400,326,0.815,328,0.82,357,0.8925
"TRA_BND",400,324,0.81,319,0.7975,345,0.8625
