"","Manta_SVTYPE","Manta_TP_tmp","Manta_FP","Manta_Precision","Manta_FDR","GRIDSS_SVTYPE","GRIDSS_TP_tmp","GRIDSS_FP","GRIDSS_Precision","GRIDSS_FDR","Lumpy_SVTYPE","Lumpy_TP_tmp","Lumpy_FP","Lumpy_Precision","Lumpy_FDR"
"SUM",1414,1225,42,0.966850828729282,0.0297029702970297,1577,1371,35,0.975106685633001,0.0221940393151554,1480,1377,103,0.930405405405405,0.0695945945945946
"DEL",349,333,16,0.954154727793696,0.0458452722063037,397,380,17,0.957178841309824,0.0428211586901763,381,345,36,0.905511811023622,0.094488188976378
"DUP",133,116,17,0.87218045112782,0.12781954887218,172,154,18,0.895348837209302,0.104651162790698,171,147,24,0.859649122807018,0.140350877192982
"INV",301,154,0,1,0,349,178,0,1,0,187,183,4,0.978609625668449,0.0213903743315508
"INS",64,56,8,0.875,0.125,12,12,0,1,0,NA,0,0,NA,NA
"TRA",NA,148,0,NA,NA,NA,156,0,NA,NA,NA,166,0,NA,NA
"BND",567,566,1,0.998236331569665,0.0017636684303351,647,647,0,1,0,741,702,39,0.947368421052632,0.0526315789473684
"RPL",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
"CTX",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
"ITX",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
