"","Truth_SVLEN","Manta_SVLEN","GRIDSS_SVLEN","Lumpy_SVLEN"
"0",0,0,0,0
"50",154,0,25,15
"100",161,5,43,11
"500",140,17,76,60
"1000",126,40,71,71
"2000",133,58,81,71
"5000",126,57,61,70
"10000",154,83,92,70
"15000",126,86,81,70
"100000",133,74,76,77
"1000000",147,74,83,72
">1000000",0,55,33,53
"NO_SVLEN",800,547,576,611
