"","Manta_TP_SVLEN","Manta_SVLEN_Sensitivity","GRIDSS_TP_SVLEN","GRIDSS_SVLEN_Sensitivity","Lumpy_TP_SVLEN","Lumpy_SVLEN_Sensitivity"
"0",0,NA,0,NA,0,NA
"50",6,0.038961038961039,20,0.12987012987013,2,0.012987012987013
"100",25,0.15527950310559,59,0.366459627329193,48,0.298136645962733
"500",62,0.442857142857143,94,0.671428571428571,87,0.621428571428571
"1000",63,0.5,79,0.626984126984127,87,0.69047619047619
"2000",75,0.56390977443609,94,0.706766917293233,99,0.744360902255639
"5000",77,0.611111111111111,80,0.634920634920635,83,0.658730158730159
"10000",94,0.61038961038961,99,0.642857142857143,111,0.720779220779221
"15000",89,0.706349206349206,89,0.706349206349206,88,0.698412698412698
"100000",89,0.669172932330827,92,0.691729323308271,90,0.676691729323308
"1000000",90,0.612244897959184,101,0.687074829931973,106,0.72108843537415
">1000000",0,NA,0,NA,0,NA
"NO_SVLEN",534,0.6675,571,0.71375,568,0.71
