"","Truth_SVLEN","Manta_SVLEN","GRIDSS_SVLEN","Lumpy_SVLEN"
"0",0,0,0,0
"50",154,0,24,18
"100",161,1,43,12
"500",140,11,76,59
"1000",126,28,71,71
"2000",133,35,81,71
"5000",126,36,62,70
"10000",154,80,92,70
"15000",126,86,81,70
"100000",133,73,76,77
"1000000",147,71,83,71
">1000000",0,52,33,54
"NO_SVLEN",800,537,576,616
