"","Truth_SV","Manta_TP","Manta_Sensitivity","GRIDSS_TP","GRIDSS_Sensitivity","Lumpy_TP","Lumpy_Sensitivity"
"SUM",1400,818,0.584285714285714,1016,0.725714285714286,914,0.652857142857143
"DEL",200,125,0.625,180,0.9,155,0.775
"DEL_TRA",200,133,0.665,183,0.915,154,0.77
"DUP",200,98,0.49,161,0.805,142,0.71
"INV",200,146,0.73,178,0.89,169,0.845
"DINS",200,155,0.775,160,0.8,154,0.77
"FINS",200,16,0.08,2,0.01,0,0
"TRA",200,145,0.725,152,0.76,140,0.7
"BND",800,627,0.78375,660,0.825,640,0.8
"INS_BND",400,318,0.795,336,0.84,329,0.8225
"TRA_BND",400,309,0.7725,324,0.81,311,0.7775
